               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11349,             0.04184,            0.051055,            0.010334,              0.0625,           0.0058179,           0.0020919,            0.094524,            0.030425,            0.044881,              0.0006,              0.0006,              0.0946
                   1,            0.094362,            0.049136,            0.047219,            0.025408,             0.49256,            0.027242,            0.007436,            0.078306,            0.030094,            0.042191,           0.0012957,           0.0012957,            0.088296
                   2,             0.07875,            0.056633,            0.043859,             0.11175,             0.45238,             0.12913,            0.048869,            0.063964,            0.028116,            0.041173,           0.0019868,           0.0019868,            0.081987
                   3,            0.073468,            0.042955,            0.042306,             0.16375,             0.40004,             0.21817,             0.12475,            0.063416,            0.025219,            0.041083,           0.0026733,           0.0026733,            0.075673
                   4,            0.071007,            0.038569,            0.041221,             0.49951,            0.083333,             0.13015,            0.025779,            0.084468,            0.022843,            0.038477,           0.0033551,           0.0033551,            0.069355
                   5,            0.074318,            0.033703,            0.039989,             0.12884,             0.50204,             0.15477,            0.066127,            0.075431,             0.02017,            0.035275,           0.0040324,           0.0040324,            0.063032
                   6,            0.073294,            0.029556,            0.038502,             0.15798,             0.27232,             0.17963,            0.049959,            0.068001,            0.018138,            0.032793,            0.004705,            0.004705,            0.056705
                   7,            0.070649,            0.035432,            0.035492,            0.068987,             0.31548,             0.05601,           0.0092321,             0.10067,            0.017649,            0.032549,           0.0053729,           0.0053729,            0.050373
                   8,            0.088042,            0.026325,            0.034443,             0.22015,             0.43304,             0.24086,            0.066247,            0.079366,            0.012864,            0.029335,           0.0060363,           0.0060363,            0.044036
                   9,            0.077455,             0.02614,            0.031007,             0.32126,              0.7247,             0.38956,             0.10708,            0.075027,            0.012993,            0.024745,           0.0066951,           0.0066951,            0.037695
                  10,            0.076159,            0.029427,            0.028742,             0.80857,             0.37127,             0.46647,             0.11729,             0.08495,            0.010794,            0.023015,           0.0073492,           0.0073492,            0.031349
                  11,            0.077552,            0.020803,            0.026204,             0.59197,              0.6516,             0.56528,             0.21304,            0.069992,            0.010964,            0.019602,           0.0079987,           0.0079987,            0.024999
